Camp Name,Camp Name,Park Name,Park Code,Amenities
0,277 North Campground,Amistad,amis,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
1,Abrams Creek Campground,Great Smoky Mountains,grsm,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
2,Adirondack Shelters,Catoctin Mountain,cato,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
3,Afterbay Campground,Bighorn Canyon,bica,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Composting Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
4,Akers Group Campground,Ozark National Scenic Riverway,ozar,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
5,Alamo Canyon Primitive Campground,Organ Pipe Cactus,orpi,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
6,Alley Spring Campground,Ozark National Scenic Riverway,ozar,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['Free - Seasonal', 'Hot - Year Round'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
7,Alum Ford Campground,Big South Fork,biso,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
8,American Memorial Park,American Memorial Park,amme,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
9,Anacapa Island Campground,Channel Islands,chis,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - year round', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
10,Antelope Point RV Park,Glen Canyon,glca,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Flush Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - year round', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'Yes - year round', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
