Camp Name,Camp Name,Park Name,Park Code,total Campsites,tent only sites,electrical hookups (for RV)
0,277 North Campground,Amistad,amis,18,0,0
1,Abrams Creek Campground,Great Smoky Mountains,grsm,16,0,0
2,Adirondack Shelters,Catoctin Mountain,cato,2,0,0
3,Afterbay Campground,Bighorn Canyon,bica,22,0,22
4,Akers Group Campground,Ozark National Scenic Riverway,ozar,4,4,0
5,Alamo Canyon Primitive Campground,Organ Pipe Cactus,orpi,4,4,0
6,Alley Spring Campground,Ozark National Scenic Riverway,ozar,162,3,28
7,Alum Ford Campground,Big South Fork,biso,6,6,0
8,American Memorial Park,American Memorial Park,amme,0,0,0
9,Anacapa Island Campground,Channel Islands,chis,7,7,0
10,Antelope Point RV Park,Glen Canyon,glca,104,0,104
11,Antietam Creek Campground,Chesapeake And Ohio Canal,choh,20,20,0
12,Apgar Campground,Glacier,glac,194,0,0
13,Army Camp,New River Gorge,neri,11,0,0
14,Aspenglen Campground,Rocky Mountain,romo,52,13,0
15,Atwell Mill Campground,Sequoia,seki,21,21,0
16,Au Sable East Group Backpacking Site,Pictured Rocks,piro,1,1,0
17,Au Sable East Individual Backpacking Sites,Pictured Rocks,piro,6,6,0
18,Avalanche,Glacier,glac,87,0,0
19,Azalea Campground,Sequoia,seki,110,0,0
20,Back Country Camping - Green Run,Assateague Island Ns,asis,1,1,0
21,Back Country Camping - Little Levels,Assateague Island Ns,asis,1,1,0
22,Back Country Camping - Pine Tree,Assateague Island Ns,asis,1,1,0
23,Back Country Camping - Pope Bay,Assateague Island Ns,asis,1,1,0
24,Back Country Camping - State Line,Assateague Island Ns,asis,1,1,0
25,Back Country Camping - Tingles Island,Assateague Island Ns,asis,1,1,0
26,Backcountry Camping,White Sands,whsa,10,10,0
27,Backcountry Camping,Capitol Reef,care,0,0,0
28,Backcountry Camping in the Otis Pike High Dune Wilderness,Fire Island,fiis,36,36,0
29,Backpacking Campsites in the Dunes or Forest,Great Sand Dunes,grsa,27,27,0
30,Baker Creek Campground,Great Basin,grba,37,4,0
31,Bald Eagle Island Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
32,Balsam Mountain Campground,Great Smoky Mountains,grsm,42,0,0
33,Bandy Creek Campground,Big South Fork,biso,149,39,98
34,Barry's Landing & Trail Creek Campground,Bighorn Canyon,bica,30,16,0
35,Bartlett Cove Campground,Glacier Bay,glba,33,33,0
36,Bay Campground - South Manitou Island,Sleeping Bear Dunes,slbe,28,28,0
37,Bayside Drive-in Campground,Assateague Island Ns,asis,22,0,0
38,Bear Creek Horse Camp,Big South Fork,biso,23,23,23
39,Bear Island Campground,Big Cypress,bicy,40,0,0
40,Beaver Creek Individual Backpacking Sites,Pictured Rocks,piro,6,6,0
41,Beaver Island Campground,Isle Royale,isro,3,0,0
42,Beehives Campground,Glen Canyon,glca,6,0,0
43,Belle Campground,Joshua Tree,jotr,18,0,0
44,Belle Fourche River Campground,Devils Tower,deto,46,3,0
45,Belle Isle Campground,Isle Royale,isro,7,1,0
46,Benchmark Individual Backpacking Sites,Pictured Rocks,piro,6,6,0
47,Bicentennial Campground,Golden Gate,goga,3,3,0
48,Big Creek Campground,Great Smoky Mountains,grsm,12,12,0
49,Big Meadows Campground,Shenandoah,shen,221,51,0
50,Big Seboeis Campsite,Katahdin Woods And Waters,kaww,1,1,0
51,Big Spring Brook Campsite,Katahdin Woods And Waters,kaww,1,1,0
52,Big Spring Brook Hut,Katahdin Woods And Waters,kaww,1,0,0
53,Big Spring Campground,Ozark National Scenic Riverway,ozar,123,3,23
54,Big Woods Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
55,Birch Island Campground,Isle Royale,isro,2,1,0
56,Bird Island Basin Campground,Padre Island,pais,34,10,0
57,Black Canyon Campground,Bighorn Canyon,bica,17,17,0
58,Black Canyon Group and Equestrian Campground,Mojave,moja,2,0,0
59,Black Rock Campground,Joshua Tree,jotr,99,0,0
60,Blackwoods Campground,Acadia,acad,281,221,0
61,Blue Creek,Lake Meredith,lamr,50,0,0
62,Blue Heron Campground,Big South Fork,biso,45,45,45
63,Blue Ridge Wilderness Campground,Guadalupe Mountains,gumo,5,5,0
64,Blue West Campground,Lake Meredith,lamr,30,0,0
65,Bluff Campground,Congaree,cong,6,6,0
66,Boca Chita Campground,Biscayne,bisc,60,60,0
67,Bonita Canyon Campground,Chiricahua,chir,26,0,0
68,Boulder Beach Campground (Lake Mead),Lake Mead,lake,135,135,0
69,Boulder Beach Group Campground (Lake Mead),Lake Mead,lake,5,5,0
70,Bow Creek Primitive Camping,Missouri National Recreational River,mnrr,5,5,0
71,Bowman Lake,Glacier,glac,48,0,0
72,Brandy Creek,Whiskeytown,whis,2,0,0
73,Brandy Creek RV,Whiskeytown,whis,15,0,0
74,Brickhill Bluff Wilderness Campsite,Cumberland Island,cuis,4,4,0
75,Bridalveil Creek Campground,Yosemite,yose,115,41,0
76,Bridge Bay Campground,Yellowstone,yell,432,0,0
77,Brooklyn Campground,New River Gorge,neri,5,5,0
78,Brooks Camp Campground,Katmai,katm,60,60,0
79,Buckeye Flat Campground,Sequoia,seki,27,27,0
80,Buckhorn Campground Loop A,Chickasaw,chic,19,0,0
81,Buckhorn Campground Loop B,Chickasaw,chic,25,0,0
82,Buckhorn Campground Loop C,Chickasaw,chic,41,0,24
83,Buckhorn Campground Loop D,Chickasaw,chic,48,0,24
84,Buffalo Point Campground,Buffalo,buff,108,21,82
85,Bugbee Canyon,Lake Meredith,lamr,10,0,0
86,Bullfrog RV & Campground,Glen Canyon,glca,98,0,18
87,Burns Lake,Big Cypress,bicy,0,0,0
88,Burnwood Group Campsite,New River Gorge,neri,1,0,0
89,Bush Mountain Wilderness Campground,Guadalupe Mountains,gumo,5,5,0
90,Butte Lake Campground,Lassen Volcanic,lavo,101,0,0
91,Cabin Camp 1 (By Reservation Only),Prince William Forest Park,prwi,1,0,0
92,Cabin Camp 2 (By Reservation Only),Prince William Forest Park,prwi,1,0,0
93,Cabin Camp 3 (By Reservation Only),Prince William Forest Park,prwi,13,0,0
94,Cabin Camp 4 (By Reservation Only),Prince William Forest Park,prwi,1,0,0
95,Cabin Camp 5 (By Reservation Only),Prince William Forest Park,prwi,1,0,0
96,Cacapon Junction Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
97,Cades Cove Campground,Great Smoky Mountains,grsm,159,31,0
98,Cades Cove Group Campground,Great Smoky Mountains,grsm,3,3,0
99,Calico Rocks Hiker-Biker Campsite,Chesapeake And Ohio Canal,choh,1,1,0
100,Callville Bay Campground (Lake Mead),Lake Mead,lake,52,52,0
101,Callville Bay RV Park (Lake Mead),Lake Mead,lake,0,0,0
