Full Name,Park Code
American Memorial Park,amme
Ala Kahakai National Historic Trail,alka
Anacostia Park,anac
Jamestown,jame
Yosemite,yose
Yellowstone,yell
Obed Wild & Scenic River,obed
Zion National Park,zion
Alagnak Wild River,alag
Yorktown Battlefield,york
Abraham Lincoln Birthplace,abli
Acadia,acad
Adams,adam
African Burial Ground,afbg
Agate Fossil Beds,agfo
Alibates Flint Quarries National Monument,alfl
Allegheny Portage Railroad,alpo
Amistad,amis
Andersonville,ande
Andrew Johnson,anjo
Aniakchak,ania
Aniakchak,ania
Antietam,anti
Apostle Islands,apis
Appalachian,appa
Appomattox Court House,apco
Arches,arch
Arkansas Post,arpo
Arlington House,arho
Assateague Island Ns,asis
Aztec Ruins,azru
Badlands,badl
Bandelier,band
Belmont,bepa
Bents Old Fort,beol
Bering Land Bridge,bela
Big Bend,bibe
Big Cypress,bicy
Big Hole,biho
Big South Fork,biso
Big Thicket,bith
Bighorn Canyon,bica
Birmingham Civil Rights,bicr
Biscayne,bisc
Black Canyon Of The Gunnison,blca
Blackstone River Valley,blrv
Blue Ridge,blri
Bluestone,blue
Booker T. Washington,bowa
Boston,bost
Boston African American,boaf
Boston Harbor Islands,boha
Brices Cross Roads,brcr
Brown V. Board Of Education,brvb
Bryce Canyon,brca
Buck Island Reef,buis
Buffalo,buff
Cabrillo,cabr
Canaveral,cana
Cane River Creole,cari
Canyon De Chelly,cach
Canyonlands,cany
Cape Cod,caco
Cape Hatteras,caha
Cape Krusenstern,cakr
Cape Lookout,calo
Capitol Reef,care
Capulin Volcano,cavo
Carl Sandburg Home,carl
Carlsbad Caverns,cave
Carter G. Woodson Home,cawo
Casa Grande Ruins,cagr
Castillo De San Marcos,casa
Castle Clinton,cacl
Castle Mountain,camo
Catoctin Mountain,cato
Cedar Breaks,cebr
Cedar Creek & Belle Grove,cebe
Cesar E. Chavez,cech
Channel Islands,chis
Chaco Culture,chcu
Chamizal,cham
Charles Pinckney,chpi
Charles Young Buffalo Soldiers,chyo
Chattahoochee River,chat
Chesapeake And Ohio Canal,choh
Chickamauga And Chattanooga,chch
Chickasaw,chic
Chiricahua,chir
Christiansted,chri
City Of Rocks National Reserve,ciro
Clara Barton,clba
Colonial,colo
Colorado,colm
Coltsville**,colt
Congaree,cong
Constitution Gardens,coga
Coronado,coro
Cowpens,cowp
Crater Lake,crla
Craters Of The Moon,crmo
Craters Of The Moon,crmo
Cumberland Gap,cuga
Cumberland Island,cuis
Curecanti,cure
Cuyahoga Valley,cuva
Dayton Aviation Heritage,daav
Death Valley,deva
De Soto,deso
Delaware Water Gap,dewa
Denali,dena
Denali,dena
Devils Tower,deto
Dinosaur,dino
Devils Postpile,depo
Dry Tortugas,drto
Ebey'S Landing National Historical Reserve,ebla
Edgar Allan Poe,edal
Effigy Mounds,efmo
Eisenhower,eise
El Malpais,elma
El Morro,elmo
Eleanor Roosevelt,elro
Eugene O'Neill,euon
Everglades,ever
Federal Hall,feha
Fire Island,fiis
First Ladies',fila
First State,frst
Flight 93,flni
Florissant Fossil Beds,flfo
Ford'S Theatre,foth
Fort Bowie,fobo
Fort Caroline,foca
Fort Davis,foda
Fort Donelson,fodo
Fort Frederica,fofr
Fort Laramie,fola
Fort Larned,fols
Fort Matanzas,foma
Fort Mchenry National Monument And Historic Shrine,fomc
Fort Monroe,fomr
Fort Necessity,fone
Fort Point,fopo
Fort Pulaski,fopu
Fort Raleigh,fora
Fort Scott,fosc
Fort Smith,fosm
Fort Stanwix,fost
Fort Sumter,fosu
Fort Union,foun
Fort Union Trading Post,fous
Fort Vancouver,fova
Fova Unit: Mcloughlin House,fova
Fort Washington,fowa
Fossil Butte,fobu
